"","H37Rv","H37Rv","H37Rv","H37Rv","H37Rv","H37Rv","H37Rv","H37Rv","H37Rv","H37Rv","NCG","NCG","NCG","NCG","NCG","NCG","NCG","NCG","NCG","NCG","NCG","NCG"
"esxJ_5",6.52929549102137,10.3981461617112,9.16042610898312,10.0231076331148,12.2875419430814,13.0976478291478,10.2346542518586,14.767294054732,3.92500973354536,7.91794961836379,24.4970474936061,27.0566888401357,20.4407262021995,11.9884700471037,32.8170929103291,20.4240496725061,18.5925583094084,24.9759705927641,22.8474939963066,25.7112809175935,19.3549749289399,17.6110183207775
"esxK_5",9832.2643538632,8290.13181958458,8686.46881893951,9675.25902971846,9664.98016937318,9653.56757516157,8631.70504388603,9808.62275848999,8452.5195159433,10039.1309181131,135.898654180166,130.457505364084,123.040433227751,131.847191719317,217.983383706768,132.945565661168,139.306361599821,139.928454184328,141.887780577014,138.733315241062,178.051864250407,131.271960231405
"esxM_5",667.399232830458,654.92541307546,682.204042430043,628.563633193289,689.739322341361,737.43279833955,653.720168561783,720.6863894907,622.986653876978,693.790504577916,580.724125877839,589.234556962956,550.439555587801,618.904766181726,553.415521351458,478.506306613001,531.215951697383,635.499696193665,560.435588027051,548.507326241995,597.239226378718,534.200889063584
"esxP_5",1919.54956864633,1953.19434771946,2144.14004037616,2334.42291711442,1967.86847036763,2340.59520640422,2081.11174705644,2309.73984655969,2170.64747518557,2283.92541221174,4571.34955699145,4600.47316085797,4376.37933088511,4574.84878437404,4301.53877181355,4207.61053425871,4688.52973259399,4809.47638494843,4540.40897846445,4303.08418459566,4598.18939426675,4136.26012874592
"esxW_5",1.30585909820427,7.79860962128343,2.61726460256661,3.34103587770492,0,4.36588260971594,7.67599068889395,1.13594569651785,1.30833657784845,2.26227131953251,11.5280223499323,10.5220456600528,2.92010374317136,17.9827050706555,7.45843020689297,8.75316414535977,11.9523589131911,13.8755392182023,10.7517618806149,12.8556404587968,12.44248388289,8.80550916038874
